CVEGEO,CVE_ENT,NOM_ENT,NOM_ABR,Columna1,CVE_MUN,NOM_MUN,CVE_CAB,NOM_CAB,POB_TOTAL,POB_MASCULINA,POB_FEMENINA,TOTAL DE VIVIENDAS HABITADAS
1001,1,Aguascalientes,Ags.,,1,Aguascalientes,1,Aguascalientes,948990,462073,486917,266942
1002,1,Aguascalientes,Ags.,,2,Asientos,1,Asientos,51536,25261,26275,12544
1003,1,Aguascalientes,Ags.,,3,Calvillo,1,Calvillo,58250,28563,29687,15556
1004,1,Aguascalientes,Ags.,,4,Cosío,1,Cosío,17000,8292,8708,3938
1005,1,Aguascalientes,Ags.,,5,Jesús María,1,Jesús María,129929,64219,65710,33229
1006,1,Aguascalientes,Ags.,,6,Pabellón de Arteaga,1,Pabellón de Arteaga,47646,23377,24269,11470
1007,1,Aguascalientes,Ags.,,7,Rincón de Romos,1,Rincón de Romos,57369,28101,29268,13584
1008,1,Aguascalientes,Ags.,,8,San José de Gracia,1,San José de Gracia,9552,4532,5020,2381
1009,1,Aguascalientes,Ags.,,9,Tepezalá,1,Tepezalá,22485,11114,11371,5425
1010,1,Aguascalientes,Ags.,,10,El Llano,1,Palo Alto,20853,10446,10407,5211
1011,1,Aguascalientes,Ags.,,11,San Francisco de los Romo,1,San Francisco de los Romo,61997,30705,31292,16391
2001,2,Baja California,B.C.,,1,Ensenada,1,Ensenada,443807,221307,222500,139968
2002,2,Baja California,B.C.,,2,Mexicali,1,Mexicali,1049792,529248,520544,330500
2003,2,Baja California,B.C.,,3,Tecate,1,Tecate,108440,57130,51310,31176
2004,2,Baja California,B.C.,,4,Tijuana,1,Tijuana,1922523,968740,953783,577011
2005,2,Baja California,B.C.,,5,Playas de Rosarito,1,Playas de Rosarito,126890,64386,62504,38135
2006,2,Baja California,B.C.,,6,San Quintín,1,San Quintín,117568,59778,57790,32773
2007,2,Baja California,B.C.,,7,San Felipe,1,San Felipe,-,-,-,-
3001,3,Baja California Sur,B.C.S,,1,Comondú,1,Ciudad Constitución,73021,36804,36217,22242
3002,3,Baja California Sur,B.C.S,,2,Mulegé,1,Santa Rosalía,64022,33071,30951,19436
3003,3,Baja California Sur,B.C.S,,3,La Paz,1,La Paz,292241,145803,146438,91366
3008,3,Baja California Sur,B.C.S,,8,Los Cabos,1,San José del Cabo,351111,180944,170167,101981
3009,3,Baja California Sur,B.C.S,,9,Loreto,1,Loreto,18052,9257,8795,5635
4001,4,Campeche,Camp.,,1,Calkiní,1,Calkiní,59232,29170,30062,15289
4002,4,Campeche,Camp.,,2,Campeche,1,San Francisco de Campeche,294077,141555,152522,85353
4003,4,Campeche,Camp.,,3,Carmen,1,Ciudad del Carmen,248845,123043,125802,72119
4004,4,Campeche,Camp.,,4,Champotón,1,Champotón,78170,39030,39140,21474
4005,4,Campeche,Camp.,,5,Hecelchakán,1,Hecelchakán,31917,15713,16204,8292
4006,4,Campeche,Camp.,,6,Hopelchén,1,Hopelchén,42140,21328,20812,10243
4007,4,Campeche,Camp.,,7,Palizada,1,Palizada,8683,4423,4260,2546
4008,4,Campeche,Camp.,,8,Tenabo,1,Tenabo,11452,5797,5655,3066
4009,4,Campeche,Camp.,,9,Escárcega,1,Escárcega,59923,29468,30455,16837
4010,4,Campeche,Camp.,,10,Calakmul,1,Xpujil,31714,16101,15613,8037
4011,4,Campeche,Camp.,,11,Candelaria,1,Candelaria,46913,23674,23239,13294
4012,4,Campeche,Camp.,,12,Seybaplaya,1,Seybaplaya,15297,7637,7660,4274
4013,4,Campeche,Camp.,,13,Dzitbalché,1,Dzitbalché,-,-,-,-
5001,5,Coahuila de Zaragoza,Coah.,,1,Abasolo,1,Abasolo,1022,535,487,363
5002,5,Coahuila de Zaragoza,Coah.,,2,Acuña,1,Ciudad Acuña,163058,81943,81115,47246
5003,5,Coahuila de Zaragoza,Coah.,,3,Allende,1,Allende,23056,11446,11610,6852
5004,5,Coahuila de Zaragoza,Coah.,,4,Arteaga,1,Arteaga,29578,14955,14623,8639
5005,5,Coahuila de Zaragoza,Coah.,,5,Candela,1,Candela,1643,843,800,471
5006,5,Coahuila de Zaragoza,Coah.,,6,Castaños,1,Castaños,29128,14596,14532,8382
5007,5,Coahuila de Zaragoza,Coah.,,7,Cuatro Ciénegas,1,Cuatro Ciénegas de Carranza,12715,6365,6350,3777
5008,5,Coahuila de Zaragoza,Coah.,,8,Escobedo,1,Escobedo,3047,1529,1518,908
5009,5,Coahuila de Zaragoza,Coah.,,9,Francisco I. Madero,1,Francisco I. Madero  ,59035,29217,29818,15901
5010,5,Coahuila de Zaragoza,Coah.,,10,Frontera,1,Frontera,82409,41209,41200,23371
5011,5,Coahuila de Zaragoza,Coah.,,11,General Cepeda,1,General Cepeda,11898,6091,5807,3407
5012,5,Coahuila de Zaragoza,Coah.,,12,Guerrero,1,Guerrero,1643,883,760,523
5013,5,Coahuila de Zaragoza,Coah.,,13,Hidalgo,1,Hidalgo,1735,896,839,492
5014,5,Coahuila de Zaragoza,Coah.,,14,Jiménez,1,Jiménez,9502,4857,4645,2729
5015,5,Coahuila de Zaragoza,Coah.,,15,Juárez,1,Juárez,1584,786,798,486
5016,5,Coahuila de Zaragoza,Coah.,,16,Lamadrid,1,Lamadrid,1764,928,836,553
5017,5,Coahuila de Zaragoza,Coah.,,17,Matamoros,1,Matamoros,118337,58692,59645,31207
5018,5,Coahuila de Zaragoza,Coah.,,18,Monclova,1,Monclova,237951,118058,119893,69906
5019,5,Coahuila de Zaragoza,Coah.,,19,Morelos,1,Morelos,7928,3935,3993,2335
5020,5,Coahuila de Zaragoza,Coah.,,20,Múzquiz,1,Ciudad Melchor Múzquiz,71627,35856,35771,20663
5021,5,Coahuila de Zaragoza,Coah.,,21,Nadadores,1,Nadadores,6539,3243,3296,1974
5022,5,Coahuila de Zaragoza,Coah.,,22,Nava,1,Nava,33129,16599,16530,9379
5023,5,Coahuila de Zaragoza,Coah.,,23,Ocampo,1,Ocampo,9642,4992,4650,2672
5024,5,Coahuila de Zaragoza,Coah.,,24,Parras,1,Parras de la Fuente,44472,22534,21938,12735
5025,5,Coahuila de Zaragoza,Coah.,,25,Piedras Negras,1,Piedras Negras,176327,88711,87616,51732
5026,5,Coahuila de Zaragoza,Coah.,,26,Progreso,1,Progreso,3239,1634,1605,995
5027,5,Coahuila de Zaragoza,Coah.,,27,Ramos Arizpe,1,Ramos Arizpe,122243,62722,59521,34397
5028,5,Coahuila de Zaragoza,Coah.,,28,Sabinas,1,Sabinas,64811,32237,32574,20215
5029,5,Coahuila de Zaragoza,Coah.,,29,Sacramento,1,Sacramento,2471,1242,1229,725
5030,5,Coahuila de Zaragoza,Coah.,,30,Saltillo,1,Saltillo,879958,437792,442166,242663
5031,5,Coahuila de Zaragoza,Coah.,,31,San Buenaventura,1,San Buenaventura,24759,12275,12484,7627
5032,5,Coahuila de Zaragoza,Coah.,,32,San Juan de Sabinas,14,Nueva Rosita,42260,20922,21338,13101
5033,5,Coahuila de Zaragoza,Coah.,,33,San Pedro,1,San Pedro,101041,49949,51092,26588
5034,5,Coahuila de Zaragoza,Coah.,,34,Sierra Mojada,1,Sierra Mojada,6744,3527,3217,1937
5035,5,Coahuila de Zaragoza,Coah.,,35,Torreón,1,Torreón,720848,351753,369095,215134
5036,5,Coahuila de Zaragoza,Coah.,,36,Viesca,1,Viesca,20305,10230,10075,5356
5037,5,Coahuila de Zaragoza,Coah.,,37,Villa Unión,1,Villa Unión,6188,3130,3058,1820
5038,5,Coahuila de Zaragoza,Coah.,,38,Zaragoza,1,Zaragoza,13135,6557,6578,3988
6001,6,Colima,Col.,,1,Armería,1,Ciudad de Armería,27626,13940,13686,8236
6002,6,Colima,Col.,,2,Colima,1,Colima,157048,76155,80893,50440
6003,6,Colima,Col.,,3,Comala,1,Comala,21661,10893,10768,6309
