"","ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_01","BP1_6_02","BP1_6_03","BP1_6_04","BP1_6_05","BP1_6_06","BP1_6_07","BP1_6_08","BP1_6_09","BP1_6_10","BP1_6_11","BP1_6_12","BP1_6_13","BP1_6_99","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_8_1","BP1_8_2","BP1_8_3","BP1_8_4","BP1_8_5","BP1_9_1","BP1_9_2","BP1_9_3","BP1_9_4","BP1_9_5","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP4_1","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"1","0100071.008","0100071.008.02","0100071","05","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01",0,"2","-",5,"1","59","1","1","1","1","3","1","1","1","1","1","1","2","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","0","1","1","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","2","2","1","1","1","2","2","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","2",1,2713,"U","2","00010","1360"
"2","0100071.030","0100071.030.02","0100071","01","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01",0,"1","-",5,"1","34","2","1","1","2","3","1","1","1","2","1","1","1","1","4","1","1","1","1","1","2","2","2","1","1","2","2","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","3","4","2","1","1","4","4","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","4",1,1809,"U","2","00010","1360"
"3","0100071.039","0100071.039.01","0100071","02","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01",0,"1","-",5,"1","46","2","1","1","2","3","1","1","1","2","2","1","2","2","3","1","1","2","1","2","2","2","2","1","1","2","3","2","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","3","3","2","1","1","4","3","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","0","0","1","1","0","1","0","1","1","0","0","0","0","3",1,1809,"U","2","00010","1360"
"4","0100071.076","0100071.076.01","0100071","04","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01",0,"1","-",5,"1","76","2","1","3","1","3","3","3","3","3","3","1","1","1","4","2","1","2","2","2","2","2","2","2","2","2","2","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","2","1","2","2","2","","1","","3","3","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","0","0","1","0","1","0","0","1","1","0","0","0","4",1,904,"U","2","00010","1360"
"5","0100071.113","0100071.113.01","0100071","03","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01",0,"1","-",5,"2","89","1","1","3","3","3","3","3","3","3","3","1","1","3","1","2","2","2","2","2","2","2","2","2","3","3","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","2","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","9",3,3618,"U","2","00010","1360"
"6","0100075.042","0100075.042.02","0100075","01","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01",0,"1","-",4,"2","33","2","1","2","2","3","2","1","2","2","2","1","2","1","1","2","1","1","2","2","2","2","2","1","1","1","2","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","0","1","1","1","1","1","1","1","0","0","0","3",1,2370,"U","3","00020","1370"
"7","0100075.063","0100075.063.02","0100075","02","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01",0,"1","-",4,"2","62","2","1","3","1","3","1","1","3","3","3","2","3","1","3","1","1","2","1","2","2","2","2","2","2","2","2","2","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","2","1","1","2","2","","2","3","","3","","2","3","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","1","1","0","0","0","0","0","1","0","1","1","0","0","0","0","3",3,3556,"U","3","00020","1370"
"8","0100075.085","0100075.085.01","0100075","03","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01",0,"0","-",4,"1","48","2","1","1","2","3","2","2","2","2","2","2","2","2","4","1","1","1","1","1","2","2","1","1","1","1","1","2","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","2","1","1","1","1","2","2","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","1","0","1","1","0","1","0","1","1","0","0","0","0","3",1,1185,"U","3","00020","1370"
"9","0100134.036","0100134.036.05","0100134","01","05","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01",1,"1","-",2,"1","72","2","1","3","2","3","1","1","1","2","3","1","3","1","3","2","2","1","2","1","2","2","2","1","1","1","2","2","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","1","1","2","2","2","1","1","","2","2","1","1","","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","2",1,1079,"U","3","00030","1370"
"10","0100134.064","0100134.064.02","0100134","03","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01",0,"0","-",2,"2","50","1","1","1","1","3","1","1","3","1","1","1","3","3","2","2","2","2","2","1","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","1","1","1","3","2","9","2","9","2","2","9","2","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","3",1,3238,"U","3","00030","1370"
