"ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_01","BP1_6_02","BP1_6_03","BP1_6_04","BP1_6_05","BP1_6_06","BP1_6_07","BP1_6_08","BP1_6_09","BP1_6_10","BP1_6_11","BP1_6_12","BP1_6_13","BP1_6_99","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_7_6","BP1_8_1","BP1_9_1","BP1_8_2","BP1_9_2","BP1_8_3","BP1_9_3","BP1_8_4","BP1_9_4","BP1_8_5","BP1_9_5","BP1_8_6","BP1_9_6","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_2A","BP4_1_1","BP4_1_2","BP4_1_3","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS","REG_CD"
"0100071.002","0100071.002.01","0100071","05","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0124","01",0,0,"-",3,"1","70","2","2","3","1","3","1","2","2","2","2","1","2","3","1","1","1","1","1","1","2","2","2","1","2","2","2","2","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","1","1","2","1","3","3","2","3","2","2","2","2","","","2","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","0","1","1","0","1","1","1","0","1","0","0","0","3","2","10","05","05",1179,1179,"U","2","0000001","156",""
"0100071.023","0100071.023.03","0100071","01","03","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0124","01",0,0,"-",3,"1","28","1","1","1","1","3","1","1","2","2","1","1","2","1","3","1","1","2","1","1","2","2","2","2","2","2","2","2","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","1","1","2","1","3","4","3","2","1","2","1","2","","","1","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","1","1","1","1","0","1","0","0","0","2","1","07","05","05",1179,5897,"U","2","0000001","156",""
"0100071.070","0100071.070.01","0100071","04","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0124","01",0,0,"-",3,"1","49","1","1","1","1","3","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","3","2","2","2","2","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1","2","4","2","3","2","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","2","1","07","07","07",1179,1179,"U","2","0000001","156",""
"0100071.114","0100071.114.02","0100071","03","02","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0124","01",0,0,"-",3,"2","50","2","1","1","1","3","1","2","2","3","1","1","3","3","4","1","2","1","1","1","2","2","2","2","2","2","2","2","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","2","1","3","3","2","3","1","2","1","3","","","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","2","1","07","08","99",1179,2359,"U","2","0000001","156",""
"0100071.122","0100071.122.01","0100071","02","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0124","01",0,0,"-",3,"2","28","1","1","1","1","3","1","1","1","1","1","1","1","1","2","2","1","2","1","2","2","2","2","2","2","2","2","2","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","2","1","2","2","2","2","2","2","","","1","2","","","","","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","2","1","07","09","06",1179,2359,"U","2","0000001","156",""
"0100107.015","0100107.015.04","0100107","04","04","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0124","01",0,0,"-",5,"1","20","1","1","3","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","1","1","1","1","1","2","2","2","2","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","3","2","08","07","07",794,3177,"U","3","0000002","157",""
"0100107.033","0100107.033.06","0100107","05","06","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0124","01",1,1,"-",5,"2","81","1","1","3","1","3","3","3","3","3","3","1","3","3","9","2","2","2","2","2","2","2","2","3","3","3","3","3","1","0","0","0","0","0","0","0","1","0","0","0","0","0","2","2","2","2","2","2","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","05","09","07",794,3971,"U","3","0000002","157",""
"0100107.048","0100107.048.02","0100107","01","02","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0124","01",0,0,"-",5,"2","46","1","1","1","1","3","1","1","2","2","3","1","2","1","2","2","2","2","1","2","2","2","2","2","2","2","2","2","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","1","2","1","2","2","2","2","2","2","","","2","1","","","","","1","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","2","09","09","07",794,794,"U","3","0000002","157",""
"0100107.067","0100107.067.01","0100107","02","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0124","01",0,1,"-",5,"1","49","1","1","1","1","3","1","1","1","1","1","1","1","1","2","2","2","1","1","2","2","2","2","2","2","2","2","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","2","1","1","1","1","1","2","1","1","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","1","1","05","10","10",794,1588,"U","3","0000002","157",""
"0100134.017","0100134.017.04","0100134","02","04","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0124","01",0,0,"-",5,"2","20","1","1","1","1","3","3","1","1","2","2","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","3","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","1","1","3","3","2","2","1","2","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","0","1","1","0","1","1","1","0","0","0","0","0","2","2","07","05","06",1015,4060,"U","3","0000003","157",""
