"","ID_PER","ID_VIV","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_1","BP1_6_2","BP1_6_3","BP1_6_4","BP1_6_5","BP1_6_6","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_8_1","BP1_8_2","BP1_8_3","BP1_8_4","BP1_8_5","BP1_9_1","BP1_9_2","BP1_9_3","BP1_9_4","BP1_9_5","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_3","BP3_4","BP3_5","BP3_6","BP4_1_1","BP4_1_2","BP4_1_3","BP4_1_4","BP4_1_5","BP4_1_6","BP4_1_7","BP4_1_8","BP4_1_9","BP5_1","DOMINIO","FAC_SEL","UPM_DIS","EST","EST_DIS"
"1","0100071.008.02","0100071.008","0100071","05","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0421","01",0,"1","-",4,"1","59","1","1","1","1","3","2","2","1","2","1","2","2","2","4","2","1","1","2","1","2","2","2","1","1","1","1","2","1","1","2","1","2","1","1","1","1","1","1","2","2","1","1","1","1","2","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","0","0","1","1","1","1","1","1","1","0","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1","U",2784,"00010","2","1360"
"2","0100071.030.02","0100071.030","0100071","01","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0421","01",0,"0","-",4,"1","34","2","1","1","2","3","2","1","1","2","2","2","1","1","4","1","1","1","1","1","2","2","2","1","2","2","1","2","2","1","1","1","2","1","1","1","1","1","1","4","4","1","1","1","4","4","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","3","2","","2","","2","2","2","2","2","2","2","1","2","1","U",1856,"00010","2","1360"
"3","0100071.039.01","0100071.039","0100071","02","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0421","01",0,"0","-",4,"1","46","2","1","1","2","3","2","1","1","2","2","1","2","2","3","1","1","1","2","1","2","2","2","1","1","2","3","2","2","2","2","2","2","2","1","1","1","1","1","2","2","2","1","1","3","3","3","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","3","1","2","2","","2","2","2","2","2","2","2","2","2","1","U",1856,"00010","2","1360"
"4","0100071.076.01","0100071.076","0100071","04","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0421","01",0,"0","-",4,"1","76","2","1","3","1","3","3","3","3","3","3","1","1","1","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","2","2","2","","1","","3","3","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","1","U",928,"00010","2","1360"
"5","0100071.113.01","0100071.113","0100071","03","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0421","01",0,"0","-",4,"2","89","1","1","3","3","3","3","3","3","3","3","1","1","3","1","2","2","2","2","2","2","2","2","2","2","3","3","2","2","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","9","2","","2","","2","2","2","2","2","2","2","2","2","2","U",3712,"00010","2","1360"
"6","0100075.042.02","0100075.042","0100075","01","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0421","01",0,"0","-",3,"2","33","2","1","2","2","3","2","1","2","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","2","1","2","2","2","2","1","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","0","0","1","1","1","1","1","1","1","1","0","0","0","9","2","","2","","2","2","2","2","2","2","2","2","2","1","U",2400,"00020","3","1370"
"7","0100075.063.02","0100075.063","0100075","02","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0421","01",0,"1","-",3,"2","62","2","1","3","1","3","1","1","9","9","9","1","1","9","4","2","1","2","1","9","2","2","2","1","1","2","2","2","2","1","2","2","2","1","9","9","9","1","1","","","","3","2","","","","3","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","0","0","0","1","0","1","1","1","1","0","0","0","0","3","1","2","2","","2","2","2","2","2","2","2","2","2","3","U",3601,"00020","3","1370"
"8","0100075.085.01","0100075.085","0100075","03","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0421","01",0,"0","-",3,"1","48","2","1","1","2","3","2","2","2","2","2","2","2","2","4","1","1","2","1","1","1","2","2","1","1","1","1","2","1","1","2","2","2","2","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","3","2","","1","1","2","2","2","2","2","2","2","2","2","1","U",1200,"00020","3","1370"
"9","0100134.036.01","0100134.036","0100134","01","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0421","01",0,"0","-",1,"1","72","1","1","3","1","3","1","1","3","3","3","1","3","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","","","","2","2","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","2","","2","","2","2","2","2","2","2","2","2","2","1","U",4372,"00030","3","1370"
"10","0100134.064.02","0100134.064","0100134","03","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0421","01",0,"0","-",1,"2","49","1","1","1","2","3","1","1","2","2","2","1","3","2","3","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","1","3","3","","","3","4","3","","","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","3","2","","2","","2","2","2","2","2","2","1","2","2","1","U",3279,"00030","3","1370"
