"UPM","VIV_SEL","N_REN","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","NOM","C_RES","PAREN","SEX","EDAD","NAC_D","NAC_M","COD","COD_SEL","VERIF_COD","I_NIV","I_ANIO","A_ESC","C_ACT","V_ACT","POS","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"0100188
","01
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","1
","-
","3
","-
","1
","1
","2
","85
","
","
","2
","A
","2
","02
","6
","2
","5
","4
","
","967
","0
","U
","3
","00010
","1370
"
"0100188
","01
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","1
","-
","3
","-
","1
","5
","2
","87
","
","
","1
","A
","1
","00
","
","2
","7
","
","
","967
","3868
","U
","3
","00010
","1370
"
"0100188
","01
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","1
","-
","3
","-
","1
","3
","1
","56
","
","
","2
","A
","2
","02
","2
","2
","1
","
","2
","967
","0
","U
","3
","00010
","1370
"
"0100188
","01
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","1
","-
","3
","-
","1
","3
","2
","61
","
","
","2
","A
","2
","02
","5
","2
","1
","
","2
","967
","0
","U
","3
","00010
","1370
"
"0100188
","02
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","-
","
","1
","2
","78
","
","
","1
","A
","
","06
","3
","2
","8
","4
","
","967
","967
","U
","3
","00010
","1370
"
"0100188
","03
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","1
","1
","-
","3
","-
","1
","1
","2
","77
","
","
","1
","A
","1
","03
","3
","2
","8
","4
","
","967
","967
","U
","3
","00010
","1370
"
"0100188
","04
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","-
","1
","1
","1
","57
","
","
","1
","A
","1
","06
","1
","2
","1
","
","2
","967
","1934
","U
","3
","00010
","1370
"
"0100188
","04
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","-
","1
","2
","2
","57
","
","
","2
","A
","2
","03
","3
","2
","5
","4
","
","967
","0
","U
","3
","00010
","1370
"
"0100188
","05
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","-
","1
","1
","2
","23
","
","
","2
","A
","2
","08
","4
","1
","1
","
","2
","967
","0
","U
","3
","00010
","1370
"
"0100188
","05
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","-
","1
","5
","2
","24
","
","
","2
","A
","2
","08
","1
","2
","5
","1
","3
","967
","0
","U
","3
","00010
","1370
"
"0100188
","05
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","-
","1
","5
","1
","23
","
","
","1
","A
","1
","08
","5
","2
","1
","
","2
","967
","2901
","U
","3
","00010
","1370
"
