"ID_VIV","ID_PER","UPM","VIV_SEL","R_INF","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","N_REN","NOM","C_RES","PAREN","SEXO","EDAD","NAC_D","NAC_M","COD","COD_SEL","I_NIV","I_ANIO","A_ESC","C_ACT","V_ACT","POS","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"0100071.008
","0100071.008.01
","0100071
","05
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","1
","-
","2
","01
","-
","1
","1
","2
","58
","
","
","2
","D
","3
","3
","2
","5
","4
","
","876
","0
","U
","2
","00010
","1370
"
"0100071.008
","0100071.008.02
","0100071
","05
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","1
","-
","2
","02
","-
","1
","2
","1
","58
","
","
","1
","A
","3
","3
","2
","6
","4
","
","876
","2629
","U
","2
","00010
","1370
"
"0100071.008
","0100071.008.04
","0100071
","05
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","1
","-
","2
","04
","-
","1
","3
","2
","21
","
","
","2
","D
","6
","3
","2
","7
","
","
","876
","0
","U
","2
","00010
","1370
"
"0100071.030
","0100071.030.01
","0100071
","01
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","2
","01
","-
","1
","1
","2
","68
","
","
","2
","A
","4
","3
","2
","1
","
","3
","876
","0
","U
","2
","00010
","1370
"
"0100071.030
","0100071.030.02
","0100071
","01
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","2
","02
","-
","1
","3
","1
","34
","
","
","1
","A
","3
","3
","2
","1
","
","4
","876
","2629
","U
","2
","00010
","1370
"
"0100071.030
","0100071.030.03
","0100071
","01
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","2
","03
","-
","1
","3
","1
","38
","
","
","2
","A
","8
","5
","2
","1
","
","2
","876
","0
","U
","2
","00010
","1370
"
"0100071.039
","0100071.039.01
","0100071
","02
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","2
","01
","-
","1
","1
","1
","46
","
","
","1
","A
","7
","3
","2
","1
","
","2
","876
","876
","U
","2
","00010
","1370
"
"0100071.076
","0100071.076.01
","0100071
","04
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","2
","01
","-
","1
","1
","1
","75
","
","
","1
","A
","2
","2
","2
","6
","4
","
","876
","876
","U
","2
","00010
","1370
"
"0100071.113
","0100071.113.01
","0100071
","03
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","2
","01
","-
","1
","1
","2
","89
","
","
","1
","A
","0
","
","2
","5
","4
","
","876
","3506
","U
","2
","00010
","1370
"
"0100071.113
","0100071.113.02
","0100071
","03
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","2
","02
","-
","1
","3
","1
","48
","
","
","2
","A
","6
","2
","2
","1
","
","2
","876
","0
","U
","2
","00010
","1370
"
"0100071.113
","0100071.113.03
","0100071
","03
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","2
","03
","-
","1
","5
","2
","48
","
","
","2
","A
","8
","5
","2
","1
","
","2
","876
","0
","U
","2
","00010
","1370
"
"0100071.113
","0100071.113.04
","0100071
","03
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","2
","04
","-
","1
","5
","2
","23
","
","
","2
","A
","6
","3
","2
","5
","4
","
","876
","0
","U
","2
","00010
","1370
"
"0100071.113
","0100071.113.05
","0100071
","03
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","2
","05
","-
","1
","5
","1
","17
","
","
","
","A
","6
","2
","1
","
","
","
","876
","0
","U
","2
","00010
","1370
"
"0100075.042
","0100075.042.01
","0100075
","01
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","1
","01
","-
","
","1
","1
","32
","
","
","2
","A
","2
","5
","2
","1
","
","1
","1234
","0
","U
","3
","00020
","1380
"
"0100075.042
","0100075.042.02
","0100075
","01
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","1
","02
","-
","
","2
","2
","33
","
","
","1
","A
","3
","1
","2
","1
","
","2
","1234
","2469
","U
","3
","00020
","1380
"
"0100075.042
","0100075.042.03
","0100075
","01
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","1
","03
","-
","
","3
","1
","14
","
","
","
","A
","3
","1
","1
","
","
","
","1234
","0
","U
","3
","00020
","1380
"
"0100075.042
","0100075.042.04
","0100075
","01
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","1
","04
","-
","
","3
","1
","12
","
","
","
","A
","2
","5
","1
","
","
","
","1234
","0
","U
","3
","00020
","1380
"
"0100188.049
","0100188.049.01
","0100188
","01
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","3
","01
","-
","1
","1
","1
","59
","
","
","2
","A
","2
","6
","2
","1
","
","2
","1132
","0
","U
","3
","00030
","1380
"
"0100188.049
","0100188.049.02
","0100188
","01
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","3
","02
","-
","1
","2
","2
","59
","
","
","2
","A
","4
","3
","2
","5
","2
","3
","1132
","0
","U
","3
","00030
","1380
"
"0100188.049
","0100188.049.03
","0100188
","01
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","3
","03
","-
","1
","3
","1
","38
","
","
","1
","A
","3
","3
","2
","1
","
","2
","1132
","4526
","U
","3
","00030
","1380
"
"0100188.049
","0100188.049.04
","0100188
","01
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","Aguascalientes
","0221
","01
","0
","0
","-
","3
","04
","-
","1
","3
","1
","26
","
","
","2
","A
","3
","3
","2
","1
","
","2
","1132
","0
","U
","3
","00030
","1380
"
