UPM,VIV_SEL,R_INF,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,LOC,CD,PER,R_DEF,H_MUD,SEL_SUST,TIPO_CUEST,N_ENT,N_REN,NOM,C_RES,PAR,AP3_4A,SEX,EDAD,AP3_6A,NAC_D,NAC_M,COD,COD_SEL,VERIF_COD,I_NIV,I_ANIO,A_ESC,C_ACT,V_ACT,POS,FAC_VIV,FAC_SEL,DOMINIO,EST,UPM_DIS,EST_DIS
100188,1,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,2,-,1,1,1,2,67,67,,,2,A,2,4,2,2,5,4,,965,0,U,3,10,960
100188,1,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,3,-,1,3,3,2,38,38,,,2,A,2,6,2,2,8,4,,965,0,U,3,10,960
100188,1,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,4,-,1,3,3,1,35,35,,,1,A,1,6,2,2,1,,2,965,2895,U,3,10,960
100188,2,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,-,1,1,1,1,57,57,,,2,A,2,2,6,2,1,,3,965,0,U,3,10,960
100188,2,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,2,-,1,5,5,2,51,51,,,1,A,1,3,3,2,5,2,3,965,2895,U,3,10,960
100188,2,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,3,-,1,2,2,1,55,55,,,2,A,2,2,6,2,1,,1,965,0,U,3,10,960
100188,3,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,-,1,1,1,1,81,81,,,1,A,1,8,5,2,6,4,,965,965,U,3,10,960
100188,4,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,-,1,1,1,2,75,75,,,1,A,1,2,6,2,5,4,,965,965,U,3,10,960
100188,5,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,-,1,1,1,1,69,69,,,1,A,1,3,3,2,8,4,,965,965,U,3,10,960
100221,1,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,-,1,1,1,1,43,43,,,2,A,2,8,5,2,1,,3,882,0,U,4,20,970
100221,1,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,2,-,1,2,2,2,42,42,,,1,A,1,8,3,2,1,,3,882,2647,U,4,20,970
100221,1,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,3,-,1,3,3,1,22,22,,,2,A,2,6,3,2,8,4,,882,0,U,4,20,970
100221,1,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,4,-,1,3,3,2,14,14,,,,A,,3,2,1,,,,882,0,U,4,20,970
100221,1,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,5,-,1,3,3,1,17,17,,,,A,,6,1,1,,,,882,0,U,4,20,970
100221,2,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,-,1,1,1,1,64,64,,,2,A,2,8,5,2,1,,4,882,0,U,4,20,970
100221,2,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,2,-,1,2,2,2,62,62,,,1,A,1,3,3,2,1,,4,882,1764,U,4,20,970
100221,3,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,-,1,1,1,1,57,57,,,1,A,1,9,3,2,1,,2,882,882,U,4,20,970
100221,4,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,-,1,1,1,1,67,67,,,2,A,2,9,5,2,6,4,,882,0,U,4,20,970
100221,4,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,2,-,1,2,2,2,60,60,,,2,A,2,7,3,2,5,4,,882,0,U,4,20,970
100221,4,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,3,-,1,3,3,1,29,29,,,1,A,1,8,5,2,1,,2,882,2647,U,4,20,970
100221,5,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,-,1,1,1,2,50,50,,,2,A,2,3,3,2,1,,3,882,0,U,4,20,970
100221,5,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,2,-,1,2,2,1,49,49,,,1,A,1,6,3,2,1,,3,882,1764,U,4,20,970
100295,1,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,3,1,-,1,1,1,2,78,78,,,1,A,1,6,2,2,6,4,,823,823,U,4,30,970
100295,4,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,3,1,-,1,1,1,1,44,44,,,2,A,2,8,5,2,1,,2,823,0,U,4,30,970
100295,4,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,3,2,-,1,2,2,2,33,33,,,1,A,1,7,3,2,1,,3,823,1645,U,4,30,970
100295,4,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,3,3,-,1,3,3,2,2,2,,,,A,,,,,,,,823,0,U,4,30,970
100295,5,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,3,1,-,1,1,1,2,46,46,,,2,A,2,4,3,2,5,3,2,823,0,U,4,30,970
100295,5,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,3,2,-,1,3,3,2,25,25,,,1,A,1,8,5,1,1,,2,823,1645,U,4,30,970
100310,1,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,A,-,4,1,-,1,1,1,1,40,40,,,1,A,1,6,3,2,1,,3,716,1432,U,3,40,960
