"UPM","VIV_SEL","R_INF","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","PER","R_DEF","H_MUD","SEL_SUST","TIPO_CUEST","N_ENT","N_REN","NOM","C_RES","PAR","AP3_4A","SEX","EDAD","AP3_6A","NAC_D","NAC_M","COD","COD_SEL","VERIF_COD","I_NIV","I_ANIO","A_ESC","C_ACT","V_ACT","POS","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"0100188
","01
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","A
","-
","5
","02
","-
","1
","1
","1
","2
","67
","67
","NA
","NA
","2
","A
","2
","04
","2
","2
","5
","4
","NA
","905
","0
","U
","3
","00010
","0960
"
"0100188
","01
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","A
","-
","5
","03
","-
","1
","3
","3
","2
","38
","38
","NA
","NA
","2
","A
","2
","06
","2
","2
","8
","4
","NA
","905
","0
","U
","3
","00010
","0960
"
"0100188
","01
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","A
","-
","5
","04
","-
","1
","3
","3
","1
","35
","35
","NA
","NA
","1
","A
","1
","06
","3
","2
","1
","NA
","2
","905
","2714
","U
","3
","00010
","0960
"
"0100188
","02
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","A
","-
","5
","01
","-
","1
","1
","1
","1
","57
","57
","NA
","NA
","2
","A
","2
","02
","6
","2
","1
","NA
","3
","905
","0
","U
","3
","00010
","0960
"
"0100188
","02
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","A
","-
","5
","02
","-
","1
","5
","5
","2
","51
","51
","NA
","NA
","1
","A
","1
","03
","3
","2
","1
","NA
","3
","905
","2714
","U
","3
","00010
","0960
"
"0100188
","02
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","A
","-
","5
","03
","-
","1
","2
","2
","1
","55
","55
","NA
","NA
","2
","A
","2
","02
","6
","2
","1
","NA
","1
","905
","0
","U
","3
","00010
","0960
"
"0100188
","03
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","A
","-
","5
","01
","-
","1
","1
","1
","1
","81
","81
","NA
","NA
","1
","A
","1
","08
","5
","2
","6
","4
","NA
","905
","905
","U
","3
","00010
","0960
"
"0100188
","04
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","A
","-
","5
","01
","-
","1
","1
","1
","2
","75
","75
","NA
","NA
","1
","A
","1
","02
","6
","2
","5
","4
","NA
","905
","905
","U
","3
","00010
","0960
"
"0100188
","05
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","A
","-
","5
","01
","-
","1
","1
","1
","1
","69
","69
","NA
","NA
","1
","A
","1
","03
","3
","2
","5
","2
","2
","905
","905
","U
","3
","00010
","0960
"
"0100221
","01
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","A
","-
","5
","01
","-
","1
","1
","1
","1
","43
","43
","NA
","NA
","2
","A
","2
","08
","5
","2
","1
","NA
","3
","815
","0
","U
","4
","00020
","0970
"
"0100221
","01
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","A
","-
","5
","02
","-
","1
","2
","2
","2
","42
","42
","NA
","NA
","1
","A
","1
","08
","3
","2
","1
","NA
","3
","815
","2445
","U
","4
","00020
","0970
"
"0100221
","01
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","A
","-
","5
","03
","-
","1
","3
","3
","1
","22
","22
","NA
","NA
","2
","A
","2
","06
","3
","2
","8
","4
","NA
","815
","0
","U
","4
","00020
","0970
"
